,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
0,2017-02-01,25.0,30.8,26.2,86.0,4.0,5.3,6.0,315.0,4.0,NW
1,2017-02-02,23.8,29.2,25.7,87.0,24.0,0.8,5.0,315.0,3.0,NW
2,2017-02-03,23.0,30.2,26.1,85.0,17.0,2.3,5.0,315.0,3.0,NW
3,2017-02-04,23.2,30.8,27.4,82.0,23.0,4.2,7.0,315.0,4.0,NW
4,2017-02-05,24.2,31.2,27.3,84.0,11.0,5.7,5.0,315.0,4.0,NW
5,2017-02-06,25.0,31.0,27.7,82.0,0.0,5.7,8.0,315.0,5.0,NW
6,2017-02-07,23.8,31.0,27.9,78.0,37.0,5.2,9.0,270.0,6.0,W 
7,2017-02-08,24.6,30.6,21.2,76.0,17.0,4.9,10.0,270.0,6.0,W 
8,2017-02-09,23.2,28.4,25.8,89.0,22.0,0.0,8.0,315.0,1.0,NW
9,2017-02-10,23.2,28.4,25.8,89.0,22.0,0.0,8.0,315.0,4.0,W 
10,2017-02-11,23.0,26.8,25.1,95.0,36.0,0.0,3.0,315.0,8.0,NW
11,2017-02-12,24.0,27.4,24.9,96.0,16.0,0.7,6.0,315.0,3.0,NW
12,2017-02-13,23.8,30.4,26.4,91.0,15.0,4.8,6.0,315.0,2.0,NW
13,2017-02-14,24.4,29.8,26.7,86.0,18.0,5.7,6.0,315.0,4.0,NW
14,2017-02-15,24.4,30.2,26.6,87.0,20.5,4.9,8.0,315.0,3.0,NW
15,2017-02-16,24.0,30.4,26.7,88.0,23.0,3.3,10.0,315.0,3.0,NW
16,2017-02-17,25.0,30.8,27.2,86.0,0.0,4.6,4.0,270.0,2.0,W 
17,2017-02-18,25.2,30.6,27.2,87.0,1.0,6.3,9.0,370.0,3.0,W 
18,2017-02-19,24.8,30.8,26.5,87.0,0.6666666666666667,6.4,5.0,360.0,3.0,N 
19,2017-02-20,25.6,31.2,27.8,85.0,0.3333333333333334,6.3,4.0,315.0,3.0,N 
20,2017-02-21,25.6,31.2,26.8,86.0,0.0,4.1,5.0,315.0,3.0,N 
21,2017-02-22,24.8,31.6,27.0,83.0,0.0,5.7,5.0,315.0,2.0,N 
22,2017-02-23,23.8,32.4,27.5,82.0,62.0,7.2,6.0,270.0,4.0,W 
23,2017-02-24,25.4,31.0,27.6,86.0,2.0,6.0,4.0,360.0,3.0,N 
24,2017-02-25,25.2,30.6,27.1,86.0,2.0,4.0,4.0,315.0,3.0,NW
25,2017-02-26,23.7,31.4,27.2,83.0,43.0,4.9,3.0,315.0,2.0,NW
26,2017-02-27,23.8,30.6,27.6,81.0,9.0,4.6,6.0,315.0,2.0,N 
27,2017-02-28,25.2,31.0,27.9,81.0,0.0,5.4,3.0,360.0,0.0,N 
28,2017-03-01,24.8,30.8,27.6,86.0,33.0,5.9,4.0,315.0,2.0,NW
29,2017-03-02,24.6,31.2,27.4,82.0,20.0,7.1,6.0,315.0,3.0,NW
30,2017-03-03,25.0,31.4,27.9,83.0,0.0,6.1,3.0,270.0,2.0,N 
31,2017-03-04,25.0,31.2,28.2,80.0,7.0,5.9,4.0,360.0,2.0,N 
32,2017-03-05,25.4,32.0,28.1,81.0,0.0,4.4,6.0,350.0,2.0,N 
33,2017-03-06,24.4,31.0,27.3,84.0,5.0,1.5,5.0,300.0,2.0,N 
34,2017-03-07,24.8,30.6,26.6,86.0,3.2,1.5,4.0,330.0,2.0,N 
35,2017-03-08,24.8,31.0,27.8,77.0,20.0,0.0,3.0,360.0,1.0,N 
36,2017-03-09,26.0,31.0,26.9,85.0,0.0,8.8,4.0,200.0,2.0,N 
37,2017-03-10,23.6,31.6,27.7,79.0,15.5,3.7,4.0,340.0,2.0,N 
38,2017-03-11,25.6,31.2,28.1,80.0,0.0,9.2,5.0,340.0,2.0,N 
39,2017-03-12,25.8,31.0,27.8,85.0,1.4,7.2,6.0,340.0,1.0,N 
40,2017-03-13,24.4,31.2,27.0,86.0,17.1,6.3,5.0,340.0,1.0,N 
41,2017-03-14,24.0,30.6,27.1,86.0,16.2,4.5,3.0,340.0,1.0,N 
42,2017-03-15,24.0,31.4,27.6,79.0,3.6,6.1,5.0,360.0,3.0,N 
43,2017-03-16,23.6,31.6,27.7,83.0,40.3,8.9,5.0,360.0,1.0,N 
44,2017-03-17,25.2,32.4,28.4,77.0,0.0,7.5,6.0,340.0,2.0,N 
45,2017-03-18,25.6,31.0,28.1,79.0,0.0,2.1,4.0,220.0,2.0,N 
46,2017-03-19,25.4,30.4,27.6,82.0,0.0,2.9,4.0,360.0,2.0,N 
47,2017-03-20,25.6,31.6,27.8,84.0,0.0,3.6,5.0,330.0,2.0,NW
48,2017-03-21,26.0,30.4,27.7,81.0,0.0,7.1,5.0,290.0,4.0,W 
49,2017-03-22,24.6,31.2,27.4,80.0,0.0,1.3,4.0,280.0,2.0,W 
